style_number,size,material_type,material_qty_per_unit,unit_of_measure
M-SLIM-MEDIUM,28,Denim Fabric,1.19,meters
M-SLIM-MEDIUM,28,Pocketing Fabric,0.29,meters
M-SLIM-MEDIUM,28,Thread,148.05,meters
M-SLIM-MEDIUM,28,Button,1.0,pieces
M-SLIM-MEDIUM,28,Zipper,1.0,pieces
M-SLIM-MEDIUM,28,Rivets,6.0,pieces
M-SLIM-MEDIUM,28,Label,2.0,pieces
M-SLIM-MEDIUM,30,Denim Fabric,1.26,meters
M-SLIM-MEDIUM,30,Pocketing Fabric,0.32,meters
M-SLIM-MEDIUM,30,Thread,157.5,meters
M-SLIM-MEDIUM,30,Button,1.0,pieces
M-SLIM-MEDIUM,30,Zipper,1.0,pieces
M-SLIM-MEDIUM,30,Rivets,6.0,pieces
M-SLIM-MEDIUM,30,Label,2.0,pieces
M-SLIM-MEDIUM,32,Denim Fabric,1.33,meters
M-SLIM-MEDIUM,32,Pocketing Fabric,0.34,meters
M-SLIM-MEDIUM,32,Thread,166.95,meters
M-SLIM-MEDIUM,32,Button,1.0,pieces
M-SLIM-MEDIUM,32,Zipper,1.0,pieces
M-SLIM-MEDIUM,32,Rivets,6.0,pieces
M-SLIM-MEDIUM,32,Label,2.0,pieces
M-SLIM-MEDIUM,34,Denim Fabric,1.41,meters
M-SLIM-MEDIUM,34,Pocketing Fabric,0.36,meters
M-SLIM-MEDIUM,34,Thread,176.4,meters
M-SLIM-MEDIUM,34,Button,1.0,pieces
M-SLIM-MEDIUM,34,Zipper,1.0,pieces
M-SLIM-MEDIUM,34,Rivets,6.0,pieces
M-SLIM-MEDIUM,34,Label,2.0,pieces
M-SLIM-MEDIUM,36,Denim Fabric,1.49,meters
M-SLIM-MEDIUM,36,Pocketing Fabric,0.37,meters
M-SLIM-MEDIUM,36,Thread,185.85,meters
M-SLIM-MEDIUM,36,Button,1.0,pieces
M-SLIM-MEDIUM,36,Zipper,1.0,pieces
M-SLIM-MEDIUM,36,Rivets,6.0,pieces
M-SLIM-MEDIUM,36,Label,2.0,pieces
M-SLIM-MEDIUM,38,Denim Fabric,1.56,meters
M-SLIM-MEDIUM,38,Pocketing Fabric,0.39,meters
M-SLIM-MEDIUM,38,Thread,195.3,meters
M-SLIM-MEDIUM,38,Button,1.0,pieces
M-SLIM-MEDIUM,38,Zipper,1.0,pieces
M-SLIM-MEDIUM,38,Rivets,6.0,pieces
M-SLIM-MEDIUM,38,Label,2.0,pieces
M-SLIM-MEDIUM,40,Denim Fabric,1.64,meters
M-SLIM-MEDIUM,40,Pocketing Fabric,0.41,meters
M-SLIM-MEDIUM,40,Thread,204.75,meters
M-SLIM-MEDIUM,40,Button,1.0,pieces
M-SLIM-MEDIUM,40,Zipper,1.0,pieces
M-SLIM-MEDIUM,40,Rivets,6.0,pieces
M-SLIM-MEDIUM,40,Label,2.0,pieces
M-SLIM-MEDIUM,42,Denim Fabric,1.71,meters
M-SLIM-MEDIUM,42,Pocketing Fabric,0.43,meters
M-SLIM-MEDIUM,42,Thread,214.2,meters
M-SLIM-MEDIUM,42,Button,1.0,pieces
M-SLIM-MEDIUM,42,Zipper,1.0,pieces
M-SLIM-MEDIUM,42,Rivets,6.0,pieces
M-SLIM-MEDIUM,42,Label,2.0,pieces
M-SLIM-DARK,18,Denim Fabric,0.81,meters
M-SLIM-DARK,18,Pocketing Fabric,0.2,meters
M-SLIM-DARK,18,Thread,100.8,meters
M-SLIM-DARK,18,Button,1.0,pieces
M-SLIM-DARK,18,Zipper,1.0,pieces
M-SLIM-DARK,18,Rivets,6.0,pieces
M-SLIM-DARK,18,Label,2.0,pieces
M-SLIM-DARK,20,Denim Fabric,0.88,meters
M-SLIM-DARK,20,Pocketing Fabric,0.22,meters
M-SLIM-DARK,20,Thread,110.25,meters
M-SLIM-DARK,20,Button,1.0,pieces
M-SLIM-DARK,20,Zipper,1.0,pieces
M-SLIM-DARK,20,Rivets,6.0,pieces
M-SLIM-DARK,20,Label,2.0,pieces
M-SLIM-DARK,22,Denim Fabric,0.96,meters
M-SLIM-DARK,22,Pocketing Fabric,0.24,meters
M-SLIM-DARK,22,Thread,119.7,meters
M-SLIM-DARK,22,Button,1.0,pieces
M-SLIM-DARK,22,Zipper,1.0,pieces
M-SLIM-DARK,22,Rivets,6.0,pieces
M-SLIM-DARK,22,Label,2.0,pieces
M-SLIM-DARK,24,Denim Fabric,1.03,meters
M-SLIM-DARK,24,Pocketing Fabric,0.26,meters
M-SLIM-DARK,24,Thread,129.15,meters
M-SLIM-DARK,24,Button,1.0,pieces
M-SLIM-DARK,24,Zipper,1.0,pieces
M-SLIM-DARK,24,Rivets,6.0,pieces
M-SLIM-DARK,24,Label,2.0,pieces
M-SLIM-DARK,26,Denim Fabric,1.11,meters
M-SLIM-DARK,26,Pocketing Fabric,0.27,meters
M-SLIM-DARK,26,Thread,138.6,meters
M-SLIM-DARK,26,Button,1.0,pieces
M-SLIM-DARK,26,Zipper,1.0,pieces
M-SLIM-DARK,26,Rivets,6.0,pieces
M-SLIM-DARK,26,Label,2.0,pieces
M-SLIM-DARK,28,Denim Fabric,1.19,meters
M-SLIM-DARK,28,Pocketing Fabric,0.29,meters
M-SLIM-DARK,28,Thread,148.05,meters
M-SLIM-DARK,28,Button,1.0,pieces
M-SLIM-DARK,28,Zipper,1.0,pieces
M-SLIM-DARK,28,Rivets,6.0,pieces
M-SLIM-DARK,28,Label,2.0,pieces
M-SLIM-DARK,30,Denim Fabric,1.26,meters
M-SLIM-DARK,30,Pocketing Fabric,0.32,meters
M-SLIM-DARK,30,Thread,157.5,meters
M-SLIM-DARK,30,Button,1.0,pieces
M-SLIM-DARK,30,Zipper,1.0,pieces
M-SLIM-DARK,30,Rivets,6.0,pieces
M-SLIM-DARK,30,Label,2.0,pieces
M-SLIM-DARK,32,Denim Fabric,1.33,meters
M-SLIM-DARK,32,Pocketing Fabric,0.34,meters
M-SLIM-DARK,32,Thread,166.95,meters
M-SLIM-DARK,32,Button,1.0,pieces
M-SLIM-DARK,32,Zipper,1.0,pieces
M-SLIM-DARK,32,Rivets,6.0,pieces
M-SLIM-DARK,32,Label,2.0,pieces
M-SLIM-DARK,34,Denim Fabric,1.41,meters
M-SLIM-DARK,34,Pocketing Fabric,0.36,meters
M-SLIM-DARK,34,Thread,176.4,meters
M-SLIM-DARK,34,Button,1.0,pieces
M-SLIM-DARK,34,Zipper,1.0,pieces
M-SLIM-DARK,34,Rivets,6.0,pieces
M-SLIM-DARK,34,Label,2.0,pieces
M-SLIM-DARK,36,Denim Fabric,1.49,meters
M-SLIM-DARK,36,Pocketing Fabric,0.37,meters
M-SLIM-DARK,36,Thread,185.85,meters
M-SLIM-DARK,36,Button,1.0,pieces
M-SLIM-DARK,36,Zipper,1.0,pieces
M-SLIM-DARK,36,Rivets,6.0,pieces
M-SLIM-DARK,36,Label,2.0,pieces
M-SLIM-DARK,38,Denim Fabric,1.56,meters
M-SLIM-DARK,38,Pocketing Fabric,0.39,meters
M-SLIM-DARK,38,Thread,195.3,meters
M-SLIM-DARK,38,Button,1.0,pieces
M-SLIM-DARK,38,Zipper,1.0,pieces
M-SLIM-DARK,38,Rivets,6.0,pieces
M-SLIM-DARK,38,Label,2.0,pieces
M-SLIM-DARK,40,Denim Fabric,1.64,meters
M-SLIM-DARK,40,Pocketing Fabric,0.41,meters
M-SLIM-DARK,40,Thread,204.75,meters
M-SLIM-DARK,40,Button,1.0,pieces
M-SLIM-DARK,40,Zipper,1.0,pieces
M-SLIM-DARK,40,Rivets,6.0,pieces
M-SLIM-DARK,40,Label,2.0,pieces
M-SLIM-DARK,42,Denim Fabric,1.71,meters
M-SLIM-DARK,42,Pocketing Fabric,0.43,meters
M-SLIM-DARK,42,Thread,214.2,meters
M-SLIM-DARK,42,Button,1.0,pieces
M-SLIM-DARK,42,Zipper,1.0,pieces
M-SLIM-DARK,42,Rivets,6.0,pieces
M-SLIM-DARK,42,Label,2.0,pieces
M-SLIM-BLACK,18,Denim Fabric,0.81,meters
M-SLIM-BLACK,18,Pocketing Fabric,0.2,meters
M-SLIM-BLACK,18,Thread,100.8,meters
M-SLIM-BLACK,18,Button,1.0,pieces
M-SLIM-BLACK,18,Zipper,1.0,pieces
M-SLIM-BLACK,18,Rivets,6.0,pieces
M-SLIM-BLACK,18,Label,2.0,pieces
M-SLIM-BLACK,20,Denim Fabric,0.88,meters
M-SLIM-BLACK,20,Pocketing Fabric,0.22,meters
M-SLIM-BLACK,20,Thread,110.25,meters
M-SLIM-BLACK,20,Button,1.0,pieces
M-SLIM-BLACK,20,Zipper,1.0,pieces
M-SLIM-BLACK,20,Rivets,6.0,pieces
M-SLIM-BLACK,20,Label,2.0,pieces
M-SLIM-BLACK,22,Denim Fabric,0.96,meters
M-SLIM-BLACK,22,Pocketing Fabric,0.24,meters
M-SLIM-BLACK,22,Thread,119.7,meters
M-SLIM-BLACK,22,Button,1.0,pieces
M-SLIM-BLACK,22,Zipper,1.0,pieces
M-SLIM-BLACK,22,Rivets,6.0,pieces
M-SLIM-BLACK,22,Label,2.0,pieces
M-SLIM-BLACK,24,Denim Fabric,1.03,meters
M-SLIM-BLACK,24,Pocketing Fabric,0.26,meters
M-SLIM-BLACK,24,Thread,129.15,meters
M-SLIM-BLACK,24,Button,1.0,pieces
M-SLIM-BLACK,24,Zipper,1.0,pieces
M-SLIM-BLACK,24,Rivets,6.0,pieces
M-SLIM-BLACK,24,Label,2.0,pieces
M-SLIM-BLACK,26,Denim Fabric,1.11,meters
M-SLIM-BLACK,26,Pocketing Fabric,0.27,meters
M-SLIM-BLACK,26,Thread,138.6,meters
M-SLIM-BLACK,26,Button,1.0,pieces
M-SLIM-BLACK,26,Zipper,1.0,pieces
M-SLIM-BLACK,26,Rivets,6.0,pieces
M-SLIM-BLACK,26,Label,2.0,pieces
M-SLIM-BLACK,28,Denim Fabric,1.19,meters
M-SLIM-BLACK,28,Pocketing Fabric,0.29,meters
M-SLIM-BLACK,28,Thread,148.05,meters
M-SLIM-BLACK,28,Button,1.0,pieces
M-SLIM-BLACK,28,Zipper,1.0,pieces
M-SLIM-BLACK,28,Rivets,6.0,pieces
M-SLIM-BLACK,28,Label,2.0,pieces
M-SLIM-BLACK,30,Denim Fabric,1.26,meters
M-SLIM-BLACK,30,Pocketing Fabric,0.32,meters
M-SLIM-BLACK,30,Thread,157.5,meters
M-SLIM-BLACK,30,Button,1.0,pieces
M-SLIM-BLACK,30,Zipper,1.0,pieces
M-SLIM-BLACK,30,Rivets,6.0,pieces
M-SLIM-BLACK,30,Label,2.0,pieces
M-SLIM-BLACK,32,Denim Fabric,1.33,meters
M-SLIM-BLACK,32,Pocketing Fabric,0.34,meters
M-SLIM-BLACK,32,Thread,166.95,meters
M-SLIM-BLACK,32,Button,1.0,pieces
M-SLIM-BLACK,32,Zipper,1.0,pieces
M-SLIM-BLACK,32,Rivets,6.0,pieces
M-SLIM-BLACK,32,Label,2.0,pieces
M-SLIM-BLACK,34,Denim Fabric,1.41,meters
M-SLIM-BLACK,34,Pocketing Fabric,0.36,meters
M-SLIM-BLACK,34,Thread,176.4,meters
M-SLIM-BLACK,34,Button,1.0,pieces
M-SLIM-BLACK,34,Zipper,1.0,pieces
M-SLIM-BLACK,34,Rivets,6.0,pieces
M-SLIM-BLACK,34,Label,2.0,pieces
M-SLIM-BLACK,36,Denim Fabric,1.49,meters
M-SLIM-BLACK,36,Pocketing Fabric,0.37,meters
M-SLIM-BLACK,36,Thread,185.85,meters
M-SLIM-BLACK,36,Button,1.0,pieces
M-SLIM-BLACK,36,Zipper,1.0,pieces
M-SLIM-BLACK,36,Rivets,6.0,pieces
M-SLIM-BLACK,36,Label,2.0,pieces
M-SLIM-BLACK,38,Denim Fabric,1.56,meters
M-SLIM-BLACK,38,Pocketing Fabric,0.39,meters
M-SLIM-BLACK,38,Thread,195.3,meters
M-SLIM-BLACK,38,Button,1.0,pieces
M-SLIM-BLACK,38,Zipper,1.0,pieces
M-SLIM-BLACK,38,Rivets,6.0,pieces
M-SLIM-BLACK,38,Label,2.0,pieces
M-SLIM-BLACK,40,Denim Fabric,1.64,meters
M-SLIM-BLACK,40,Pocketing Fabric,0.41,meters
M-SLIM-BLACK,40,Thread,204.75,meters
M-SLIM-BLACK,40,Button,1.0,pieces
M-SLIM-BLACK,40,Zipper,1.0,pieces
M-SLIM-BLACK,40,Rivets,6.0,pieces
M-SLIM-BLACK,40,Label,2.0,pieces
M-SLIM-BLACK,42,Denim Fabric,1.71,meters
M-SLIM-BLACK,42,Pocketing Fabric,0.43,meters
M-SLIM-BLACK,42,Thread,214.2,meters
M-SLIM-BLACK,42,Button,1.0,pieces
M-SLIM-BLACK,42,Zipper,1.0,pieces
M-SLIM-BLACK,42,Rivets,6.0,pieces
M-SLIM-BLACK,42,Label,2.0,pieces
M-REGULAR-LIGHT,18,Denim Fabric,0.81,meters
M-REGULAR-LIGHT,18,Pocketing Fabric,0.2,meters
M-REGULAR-LIGHT,18,Thread,100.8,meters
M-REGULAR-LIGHT,18,Button,1.0,pieces
M-REGULAR-LIGHT,18,Zipper,1.0,pieces
M-REGULAR-LIGHT,18,Rivets,6.0,pieces
M-REGULAR-LIGHT,18,Label,2.0,pieces
M-REGULAR-LIGHT,20,Denim Fabric,0.88,meters
M-REGULAR-LIGHT,20,Pocketing Fabric,0.22,meters
M-REGULAR-LIGHT,20,Thread,110.25,meters
M-REGULAR-LIGHT,20,Button,1.0,pieces
M-REGULAR-LIGHT,20,Zipper,1.0,pieces
M-REGULAR-LIGHT,20,Rivets,6.0,pieces
M-REGULAR-LIGHT,20,Label,2.0,pieces
M-REGULAR-LIGHT,22,Denim Fabric,0.96,meters
M-REGULAR-LIGHT,22,Pocketing Fabric,0.24,meters
M-REGULAR-LIGHT,22,Thread,119.7,meters
M-REGULAR-LIGHT,22,Button,1.0,pieces
M-REGULAR-LIGHT,22,Zipper,1.0,pieces
M-REGULAR-LIGHT,22,Rivets,6.0,pieces
M-REGULAR-LIGHT,22,Label,2.0,pieces
M-REGULAR-LIGHT,24,Denim Fabric,1.03,meters
M-REGULAR-LIGHT,24,Pocketing Fabric,0.26,meters
M-REGULAR-LIGHT,24,Thread,129.15,meters
M-REGULAR-LIGHT,24,Button,1.0,pieces
M-REGULAR-LIGHT,24,Zipper,1.0,pieces
M-REGULAR-LIGHT,24,Rivets,6.0,pieces
M-REGULAR-LIGHT,24,Label,2.0,pieces
M-REGULAR-LIGHT,26,Denim Fabric,1.11,meters
M-REGULAR-LIGHT,26,Pocketing Fabric,0.27,meters
M-REGULAR-LIGHT,26,Thread,138.6,meters
M-REGULAR-LIGHT,26,Button,1.0,pieces
M-REGULAR-LIGHT,26,Zipper,1.0,pieces
M-REGULAR-LIGHT,26,Rivets,6.0,pieces
M-REGULAR-LIGHT,26,Label,2.0,pieces
M-REGULAR-LIGHT,28,Denim Fabric,1.19,meters
M-REGULAR-LIGHT,28,Pocketing Fabric,0.29,meters
M-REGULAR-LIGHT,28,Thread,148.05,meters
M-REGULAR-LIGHT,28,Button,1.0,pieces
M-REGULAR-LIGHT,28,Zipper,1.0,pieces
M-REGULAR-LIGHT,28,Rivets,6.0,pieces
M-REGULAR-LIGHT,28,Label,2.0,pieces
M-REGULAR-LIGHT,30,Denim Fabric,1.26,meters
M-REGULAR-LIGHT,30,Pocketing Fabric,0.32,meters
M-REGULAR-LIGHT,30,Thread,157.5,meters
M-REGULAR-LIGHT,30,Button,1.0,pieces
M-REGULAR-LIGHT,30,Zipper,1.0,pieces
M-REGULAR-LIGHT,30,Rivets,6.0,pieces
M-REGULAR-LIGHT,30,Label,2.0,pieces
M-REGULAR-LIGHT,32,Denim Fabric,1.33,meters
M-REGULAR-LIGHT,32,Pocketing Fabric,0.34,meters
M-REGULAR-LIGHT,32,Thread,166.95,meters
M-REGULAR-LIGHT,32,Button,1.0,pieces
M-REGULAR-LIGHT,32,Zipper,1.0,pieces
M-REGULAR-LIGHT,32,Rivets,6.0,pieces
M-REGULAR-LIGHT,32,Label,2.0,pieces
M-REGULAR-LIGHT,34,Denim Fabric,1.41,meters
M-REGULAR-LIGHT,34,Pocketing Fabric,0.36,meters
M-REGULAR-LIGHT,34,Thread,176.4,meters
M-REGULAR-LIGHT,34,Button,1.0,pieces
M-REGULAR-LIGHT,34,Zipper,1.0,pieces
M-REGULAR-LIGHT,34,Rivets,6.0,pieces
M-REGULAR-LIGHT,34,Label,2.0,pieces
M-REGULAR-LIGHT,36,Denim Fabric,1.49,meters
M-REGULAR-LIGHT,36,Pocketing Fabric,0.37,meters
M-REGULAR-LIGHT,36,Thread,185.85,meters
M-REGULAR-LIGHT,36,Button,1.0,pieces
M-REGULAR-LIGHT,36,Zipper,1.0,pieces
M-REGULAR-LIGHT,36,Rivets,6.0,pieces
M-REGULAR-LIGHT,36,Label,2.0,pieces
M-REGULAR-LIGHT,38,Denim Fabric,1.56,meters
M-REGULAR-LIGHT,38,Pocketing Fabric,0.39,meters
M-REGULAR-LIGHT,38,Thread,195.3,meters
M-REGULAR-LIGHT,38,Button,1.0,pieces
M-REGULAR-LIGHT,38,Zipper,1.0,pieces
M-REGULAR-LIGHT,38,Rivets,6.0,pieces
M-REGULAR-LIGHT,38,Label,2.0,pieces
M-REGULAR-LIGHT,40,Denim Fabric,1.64,meters
M-REGULAR-LIGHT,40,Pocketing Fabric,0.41,meters
M-REGULAR-LIGHT,40,Thread,204.75,meters
M-REGULAR-LIGHT,40,Button,1.0,pieces
M-REGULAR-LIGHT,40,Zipper,1.0,pieces
M-REGULAR-LIGHT,40,Rivets,6.0,pieces
M-REGULAR-LIGHT,40,Label,2.0,pieces
M-REGULAR-LIGHT,42,Denim Fabric,1.71,meters
M-REGULAR-LIGHT,42,Pocketing Fabric,0.43,meters
M-REGULAR-LIGHT,42,Thread,214.2,meters
M-REGULAR-LIGHT,42,Button,1.0,pieces
M-REGULAR-LIGHT,42,Zipper,1.0,pieces
M-REGULAR-LIGHT,42,Rivets,6.0,pieces
M-REGULAR-LIGHT,42,Label,2.0,pieces
M-REGULAR-MEDIUM,18,Denim Fabric,0.81,meters
M-REGULAR-MEDIUM,18,Pocketing Fabric,0.2,meters
M-REGULAR-MEDIUM,18,Thread,100.8,meters
M-REGULAR-MEDIUM,18,Button,1.0,pieces
M-REGULAR-MEDIUM,18,Zipper,1.0,pieces
M-REGULAR-MEDIUM,18,Rivets,6.0,pieces
M-REGULAR-MEDIUM,18,Label,2.0,pieces
M-REGULAR-MEDIUM,20,Denim Fabric,0.88,meters
M-REGULAR-MEDIUM,20,Pocketing Fabric,0.22,meters
M-REGULAR-MEDIUM,20,Thread,110.25,meters
M-REGULAR-MEDIUM,20,Button,1.0,pieces
M-REGULAR-MEDIUM,20,Zipper,1.0,pieces
M-REGULAR-MEDIUM,20,Rivets,6.0,pieces
M-REGULAR-MEDIUM,20,Label,2.0,pieces
M-REGULAR-MEDIUM,22,Denim Fabric,0.96,meters
M-REGULAR-MEDIUM,22,Pocketing Fabric,0.24,meters
M-REGULAR-MEDIUM,22,Thread,119.7,meters
M-REGULAR-MEDIUM,22,Button,1.0,pieces
M-REGULAR-MEDIUM,22,Zipper,1.0,pieces
M-REGULAR-MEDIUM,22,Rivets,6.0,pieces
M-REGULAR-MEDIUM,22,Label,2.0,pieces
M-REGULAR-MEDIUM,24,Denim Fabric,1.03,meters
M-REGULAR-MEDIUM,24,Pocketing Fabric,0.26,meters
M-REGULAR-MEDIUM,24,Thread,129.15,meters
M-REGULAR-MEDIUM,24,Button,1.0,pieces
M-REGULAR-MEDIUM,24,Zipper,1.0,pieces
M-REGULAR-MEDIUM,24,Rivets,6.0,pieces
M-REGULAR-MEDIUM,24,Label,2.0,pieces
M-REGULAR-MEDIUM,26,Denim Fabric,1.11,meters
M-REGULAR-MEDIUM,26,Pocketing Fabric,0.27,meters
M-REGULAR-MEDIUM,26,Thread,138.6,meters
M-REGULAR-MEDIUM,26,Button,1.0,pieces
M-REGULAR-MEDIUM,26,Zipper,1.0,pieces
M-REGULAR-MEDIUM,26,Rivets,6.0,pieces
M-REGULAR-MEDIUM,26,Label,2.0,pieces
M-REGULAR-MEDIUM,28,Denim Fabric,1.19,meters
M-REGULAR-MEDIUM,28,Pocketing Fabric,0.29,meters
M-REGULAR-MEDIUM,28,Thread,148.05,meters
M-REGULAR-MEDIUM,28,Button,1.0,pieces
M-REGULAR-MEDIUM,28,Zipper,1.0,pieces
M-REGULAR-MEDIUM,28,Rivets,6.0,pieces
M-REGULAR-MEDIUM,28,Label,2.0,pieces
M-REGULAR-MEDIUM,30,Denim Fabric,1.26,meters
M-REGULAR-MEDIUM,30,Pocketing Fabric,0.32,meters
M-REGULAR-MEDIUM,30,Thread,157.5,meters
M-REGULAR-MEDIUM,30,Button,1.0,pieces
M-REGULAR-MEDIUM,30,Zipper,1.0,pieces
M-REGULAR-MEDIUM,30,Rivets,6.0,pieces
M-REGULAR-MEDIUM,30,Label,2.0,pieces
M-REGULAR-MEDIUM,32,Denim Fabric,1.33,meters
M-REGULAR-MEDIUM,32,Pocketing Fabric,0.34,meters
M-REGULAR-MEDIUM,32,Thread,166.95,meters
M-REGULAR-MEDIUM,32,Button,1.0,pieces
M-REGULAR-MEDIUM,32,Zipper,1.0,pieces
M-REGULAR-MEDIUM,32,Rivets,6.0,pieces
M-REGULAR-MEDIUM,32,Label,2.0,pieces
M-REGULAR-MEDIUM,34,Denim Fabric,1.41,meters
M-REGULAR-MEDIUM,34,Pocketing Fabric,0.36,meters
M-REGULAR-MEDIUM,34,Thread,176.4,meters
M-REGULAR-MEDIUM,34,Button,1.0,pieces
M-REGULAR-MEDIUM,34,Zipper,1.0,pieces
M-REGULAR-MEDIUM,34,Rivets,6.0,pieces
M-REGULAR-MEDIUM,34,Label,2.0,pieces
M-REGULAR-MEDIUM,36,Denim Fabric,1.49,meters
M-REGULAR-MEDIUM,36,Pocketing Fabric,0.37,meters
M-REGULAR-MEDIUM,36,Thread,185.85,meters
M-REGULAR-MEDIUM,36,Button,1.0,pieces
M-REGULAR-MEDIUM,36,Zipper,1.0,pieces
M-REGULAR-MEDIUM,36,Rivets,6.0,pieces
M-REGULAR-MEDIUM,36,Label,2.0,pieces
M-REGULAR-MEDIUM,38,Denim Fabric,1.56,meters
M-REGULAR-MEDIUM,38,Pocketing Fabric,0.39,meters
M-REGULAR-MEDIUM,38,Thread,195.3,meters
M-REGULAR-MEDIUM,38,Button,1.0,pieces
M-REGULAR-MEDIUM,38,Zipper,1.0,pieces
M-REGULAR-MEDIUM,38,Rivets,6.0,pieces
M-REGULAR-MEDIUM,38,Label,2.0,pieces
M-REGULAR-MEDIUM,40,Denim Fabric,1.64,meters
M-REGULAR-MEDIUM,40,Pocketing Fabric,0.41,meters
M-REGULAR-MEDIUM,40,Thread,204.75,meters
M-REGULAR-MEDIUM,40,Button,1.0,pieces
M-REGULAR-MEDIUM,40,Zipper,1.0,pieces
M-REGULAR-MEDIUM,40,Rivets,6.0,pieces
M-REGULAR-MEDIUM,40,Label,2.0,pieces
M-REGULAR-MEDIUM,42,Denim Fabric,1.71,meters
M-REGULAR-MEDIUM,42,Pocketing Fabric,0.43,meters
M-REGULAR-MEDIUM,42,Thread,214.2,meters
M-REGULAR-MEDIUM,42,Button,1.0,pieces
M-REGULAR-MEDIUM,42,Zipper,1.0,pieces
M-REGULAR-MEDIUM,42,Rivets,6.0,pieces
M-REGULAR-MEDIUM,42,Label,2.0,pieces
M-REGULAR-DARK,18,Denim Fabric,0.81,meters
M-REGULAR-DARK,18,Pocketing Fabric,0.2,meters
M-REGULAR-DARK,18,Thread,100.8,meters
M-REGULAR-DARK,18,Button,1.0,pieces
M-REGULAR-DARK,18,Zipper,1.0,pieces
M-REGULAR-DARK,18,Rivets,6.0,pieces
M-REGULAR-DARK,18,Label,2.0,pieces
M-REGULAR-DARK,20,Denim Fabric,0.88,meters
M-REGULAR-DARK,20,Pocketing Fabric,0.22,meters
M-REGULAR-DARK,20,Thread,110.25,meters
M-REGULAR-DARK,20,Button,1.0,pieces
M-REGULAR-DARK,20,Zipper,1.0,pieces
M-REGULAR-DARK,20,Rivets,6.0,pieces
M-REGULAR-DARK,20,Label,2.0,pieces
M-REGULAR-DARK,22,Denim Fabric,0.96,meters
M-REGULAR-DARK,22,Pocketing Fabric,0.24,meters
M-REGULAR-DARK,22,Thread,119.7,meters
M-REGULAR-DARK,22,Button,1.0,pieces
M-REGULAR-DARK,22,Zipper,1.0,pieces
M-REGULAR-DARK,22,Rivets,6.0,pieces
M-REGULAR-DARK,22,Label,2.0,pieces
M-REGULAR-DARK,24,Denim Fabric,1.03,meters
M-REGULAR-DARK,24,Pocketing Fabric,0.26,meters
M-REGULAR-DARK,24,Thread,129.15,meters
M-REGULAR-DARK,24,Button,1.0,pieces
M-REGULAR-DARK,24,Zipper,1.0,pieces
M-REGULAR-DARK,24,Rivets,6.0,pieces
M-REGULAR-DARK,24,Label,2.0,pieces
M-REGULAR-DARK,26,Denim Fabric,1.11,meters
M-REGULAR-DARK,26,Pocketing Fabric,0.27,meters
M-REGULAR-DARK,26,Thread,138.6,meters
M-REGULAR-DARK,26,Button,1.0,pieces
M-REGULAR-DARK,26,Zipper,1.0,pieces
M-REGULAR-DARK,26,Rivets,6.0,pieces
M-REGULAR-DARK,26,Label,2.0,pieces
M-REGULAR-DARK,28,Denim Fabric,1.19,meters
M-REGULAR-DARK,28,Pocketing Fabric,0.29,meters
M-REGULAR-DARK,28,Thread,148.05,meters
M-REGULAR-DARK,28,Button,1.0,pieces
M-REGULAR-DARK,28,Zipper,1.0,pieces
M-REGULAR-DARK,28,Rivets,6.0,pieces
M-REGULAR-DARK,28,Label,2.0,pieces
M-REGULAR-DARK,30,Denim Fabric,1.26,meters
M-REGULAR-DARK,30,Pocketing Fabric,0.32,meters
M-REGULAR-DARK,30,Thread,157.5,meters
M-REGULAR-DARK,30,Button,1.0,pieces
M-REGULAR-DARK,30,Zipper,1.0,pieces
M-REGULAR-DARK,30,Rivets,6.0,pieces
M-REGULAR-DARK,30,Label,2.0,pieces
M-REGULAR-DARK,32,Denim Fabric,1.33,meters
M-REGULAR-DARK,32,Pocketing Fabric,0.34,meters
M-REGULAR-DARK,32,Thread,166.95,meters
M-REGULAR-DARK,32,Button,1.0,pieces
M-REGULAR-DARK,32,Zipper,1.0,pieces
M-REGULAR-DARK,32,Rivets,6.0,pieces
M-REGULAR-DARK,32,Label,2.0,pieces
M-REGULAR-DARK,34,Denim Fabric,1.41,meters
M-REGULAR-DARK,34,Pocketing Fabric,0.36,meters
M-REGULAR-DARK,34,Thread,176.4,meters
M-REGULAR-DARK,34,Button,1.0,pieces
M-REGULAR-DARK,34,Zipper,1.0,pieces
M-REGULAR-DARK,34,Rivets,6.0,pieces
M-REGULAR-DARK,34,Label,2.0,pieces
M-REGULAR-DARK,36,Denim Fabric,1.49,meters
M-REGULAR-DARK,36,Pocketing Fabric,0.37,meters
M-REGULAR-DARK,36,Thread,185.85,meters
M-REGULAR-DARK,36,Button,1.0,pieces
M-REGULAR-DARK,36,Zipper,1.0,pieces
M-REGULAR-DARK,36,Rivets,6.0,pieces
M-REGULAR-DARK,36,Label,2.0,pieces
M-REGULAR-DARK,38,Denim Fabric,1.56,meters
M-REGULAR-DARK,38,Pocketing Fabric,0.39,meters
M-REGULAR-DARK,38,Thread,195.3,meters
M-REGULAR-DARK,38,Button,1.0,pieces
M-REGULAR-DARK,38,Zipper,1.0,pieces
M-REGULAR-DARK,38,Rivets,6.0,pieces
M-REGULAR-DARK,38,Label,2.0,pieces
M-REGULAR-DARK,40,Denim Fabric,1.64,meters
M-REGULAR-DARK,40,Pocketing Fabric,0.41,meters
