order_form_no,order_date,buyer_name,buyer_location,s_no,style_number,size_18_qty,size_20_qty,size_22_qty,size_24_qty,size_26_qty,size_28_qty,size_30_qty,size_32_qty,size_34_qty,size_36_qty,size_38_qty,size_40_qty,size_42_qty,unit_price,line_item_total,total_qty_line_item
1059,2025-03-04,Elite Garments Chennai,Chennai,1,STYLE-144,27,41,33,44,32,30,41,11,9,39,4,0,44,1451.1,515140.5,355
1059,2025-03-04,Elite Garments Chennai,Chennai,2,STYLE-131,11,33,19,3,10,33,42,41,35,46,38,19,21,1020.37,358149.87,351
1059,2025-03-04,Elite Garments Chennai,Chennai,3,STYLE-125,9,50,8,45,14,25,10,35,32,41,4,30,45,924.8,321830.4,348
1060,2025-05-12,Fashion Hub Delhi,Delhi,1,STYLE-113,48,6,43,8,46,6,23,22,46,36,46,18,28,502.79,189049.04,376
1060,2025-05-12,Fashion Hub Delhi,Delhi,2,STYLE-128,45,33,48,0,16,29,44,34,5,2,5,39,11,926.96,288284.56,311
1061,2025-01-31,Silk Route Kolkata,Kolkata,1,STYLE-144,20,39,50,37,2,38,40,42,7,40,3,36,21,802.69,301008.75,375
1062,2025-04-26,Silk Route Kolkata,Kolkata,1,STYLE-120,25,13,45,15,10,7,31,49,19,15,40,27,30,1169.33,381201.58,326
1062,2025-04-26,Silk Route Kolkata,Kolkata,2,STYLE-136,3,39,23,24,43,23,45,33,24,50,9,1,9,889.28,289905.28,326
1062,2025-04-26,Silk Route Kolkata,Kolkata,3,STYLE-145,43,45,22,40,9,47,33,9,15,42,22,0,34,1368.37,493981.57,361
1062,2025-04-26,Silk Route Kolkata,Kolkata,4,STYLE-139,17,18,32,1,16,11,15,28,33,44,18,35,48,1065.78,336786.48,316
1063,2025-02-27,Fashion Hub Delhi,Delhi,1,STYLE-126,35,5,43,6,1,47,47,3,24,40,6,20,29,765.95,234380.7,306
1064,2025-06-12,Elite Garments Chennai,Chennai,1,STYLE-125,30,31,11,33,36,1,10,15,15,37,41,31,8,594.22,177671.78,299
1065,2025-06-09,Trendy Threads Mumbai,Mumbai,1,STYLE-137,7,32,13,50,23,17,38,16,14,38,42,24,18,1391.1,461845.2,332
1065,2025-06-09,Trendy Threads Mumbai,Mumbai,2,STYLE-116,21,41,29,1,4,29,16,41,7,17,50,20,50,566.68,184737.68,326
1066,2025-05-28,Silk Route Kolkata,Kolkata,1,STYLE-148,37,31,17,31,27,44,11,45,32,29,50,14,1,1352.64,499124.16,369
1066,2025-05-28,Silk Route Kolkata,Kolkata,2,STYLE-139,19,28,7,40,24,15,45,15,37,20,33,11,47,653.58,222870.78,341
1067,2024-12-27,Silk Route Kolkata,Kolkata,1,STYLE-125,43,47,49,49,32,8,30,0,42,43,10,13,17,1051.75,402820.25,383
1067,2024-12-27,Silk Route Kolkata,Kolkata,2,STYLE-134,23,34,31,17,14,50,32,23,11,18,41,42,18,643.42,227770.68,354
1067,2024-12-27,Silk Route Kolkata,Kolkata,3,STYLE-133,27,4,26,49,22,7,7,9,22,12,16,20,1,1302.97,289259.34,222
1067,2024-12-27,Silk Route Kolkata,Kolkata,4,STYLE-145,25,49,43,32,3,0,16,49,9,37,45,33,4,1481.84,511234.8,345
1067,2024-12-27,Silk Route Kolkata,Kolkata,5,STYLE-110,8,46,46,25,7,34,31,27,46,31,38,22,43,927.53,374722.12,404
1068,2025-04-16,Silk Route Kolkata,Kolkata,1,STYLE-122,23,27,46,11,33,42,24,1,1,44,19,49,18,1356.49,458493.62,338
1068,2025-04-16,Silk Route Kolkata,Kolkata,2,STYLE-134,28,15,34,18,46,42,22,41,19,13,38,25,1,501.41,171482.22,342
1069,2025-06-11,Silk Route Kolkata,Kolkata,1,STYLE-116,17,14,21,36,47,39,3,36,32,32,32,6,10,1453.38,472348.5,325
1069,2025-06-11,Silk Route Kolkata,Kolkata,2,STYLE-142,29,6,41,12,28,41,7,47,19,19,15,15,28,594.14,182400.98,307
1070,2025-01-02,Fashion Hub Delhi,Delhi,1,STYLE-138,40,6,9,46,13,41,35,48,4,39,15,21,47,1050.11,382240.04,364
1070,2025-01-02,Fashion Hub Delhi,Delhi,2,STYLE-144,40,1,17,35,13,6,27,48,24,45,44,16,10,1410.74,459901.24,326
1071,2025-01-09,Bindas Guntur,Guntur,1,STYLE-109,38,8,26,41,48,45,47,16,30,28,6,15,3,1191.13,418086.63,351
1071,2025-01-09,Bindas Guntur,Guntur,2,STYLE-128,33,18,24,38,22,30,47,32,45,40,31,16,28,1257.83,508163.32,404
1071,2025-01-09,Bindas Guntur,Guntur,3,STYLE-130,42,32,7,41,35,46,40,49,17,37,21,41,42,1188.37,534766.5,450
1072,2025-04-08,Bindas Guntur,Guntur,1,STYLE-149,34,50,47,4,40,41,21,25,11,35,32,7,50,561.63,222967.11,397
1072,2025-04-08,Bindas Guntur,Guntur,2,STYLE-125,45,46,40,20,0,43,34,40,32,21,18,15,32,1040.92,401795.12,386
1072,2025-04-08,Bindas Guntur,Guntur,3,STYLE-148,16,7,37,47,42,43,26,30,50,27,34,38,15,579.08,238580.96,412
1072,2025-04-08,Bindas Guntur,Guntur,4,STYLE-137,47,10,3,29,7,19,0,4,34,36,24,30,48,896.32,260829.12,291
1072,2025-04-08,Bindas Guntur,Guntur,5,STYLE-107,43,26,30,18,36,30,45,3,3,0,42,42,40,1210.51,433362.58,358
1073,2024-12-20,Trendy Threads Mumbai,Mumbai,1,STYLE-130,21,26,1,1,14,6,6,19,24,31,28,1,44,1230.99,273279.78,222
1073,2024-12-20,Trendy Threads Mumbai,Mumbai,2,STYLE-108,1,22,45,28,2,27,33,6,50,30,32,38,31,710.74,245205.3,345
1073,2024-12-20,Trendy Threads Mumbai,Mumbai,3,STYLE-108,28,23,48,1,11,22,50,20,20,1,0,43,6,1234.02,336887.46,273
1073,2024-12-20,Trendy Threads Mumbai,Mumbai,4,STYLE-128,12,45,16,42,10,30,14,38,8,32,22,16,0,863.92,246217.2,285
1073,2024-12-20,Trendy Threads Mumbai,Mumbai,5,STYLE-118,0,47,33,49,40,17,18,38,40,14,10,38,10,981.54,347465.16,354
1074,2025-01-02,Elite Garments Chennai,Chennai,1,STYLE-116,31,43,48,41,43,37,49,29,31,30,2,40,14,783.36,343111.68,438
1075,2025-02-18,Silk Route Kolkata,Kolkata,1,STYLE-101,36,22,50,47,9,16,37,21,1,26,35,24,49,1029.88,384145.24,373
1076,2024-12-27,Fashion Hub Delhi,Delhi,1,STYLE-142,23,29,37,29,7,7,8,46,34,11,34,20,7,589.71,172195.32,292
1076,2024-12-27,Fashion Hub Delhi,Delhi,2,STYLE-130,14,16,20,19,41,11,2,41,4,45,49,38,23,938.98,303290.54,323
1076,2024-12-27,Fashion Hub Delhi,Delhi,3,STYLE-141,32,38,44,10,25,38,30,34,43,13,47,36,49,1157.49,508138.11,439
1077,2025-02-05,Elite Garments Chennai,Chennai,1,STYLE-115,45,48,14,10,35,5,39,13,28,32,39,38,17,528.14,191714.82,363
1077,2025-02-05,Elite Garments Chennai,Chennai,2,STYLE-122,39,49,20,13,42,9,1,45,6,32,21,10,27,1306.05,410099.7,314
1077,2025-02-05,Elite Garments Chennai,Chennai,3,STYLE-145,11,47,23,20,47,14,49,12,2,23,35,22,17,824.68,265546.96,322
1078,2025-04-29,Trendy Threads Mumbai,Mumbai,1,STYLE-148,15,47,1,38,16,20,8,50,45,15,30,21,42,1388.9,483337.2,348
1078,2025-04-29,Trendy Threads Mumbai,Mumbai,2,STYLE-106,7,33,35,15,3,43,48,38,6,17,22,14,35,751.51,237477.16,316
1079,2025-02-13,Silk Route Kolkata,Kolkata,1,STYLE-133,47,18,19,20,40,12,25,49,12,3,4,7,22,708.24,196890.72,278
1079,2025-02-13,Silk Route Kolkata,Kolkata,2,STYLE-123,16,43,14,36,20,12,1,27,16,18,34,10,41,530.99,152925.12,288
1079,2025-02-13,Silk Route Kolkata,Kolkata,3,STYLE-136,50,23,46,28,27,46,49,2,10,13,21,8,20,1409.0,483287.0,343
1079,2025-02-13,Silk Route Kolkata,Kolkata,4,STYLE-144,22,48,18,37,10,3,32,9,8,27,41,49,29,1068.34,355757.22,333
1080,2025-05-09,Elite Garments Chennai,Chennai,1,STYLE-116,13,12,12,12,15,12,7,7,28,4,5,4,10,713.98,100671.18,141
1080,2025-05-09,Elite Garments Chennai,Chennai,2,STYLE-104,15,1,21,11,2,17,22,28,45,14,14,49,8,1224.31,302404.57,247
1080,2025-05-09,Elite Garments Chennai,Chennai,3,STYLE-116,19,43,7,29,43,17,31,12,22,15,39,12,8,1182.32,351149.04,297
1080,2025-05-09,Elite Garments Chennai,Chennai,4,STYLE-108,15,18,30,18,22,2,42,19,40,1,4,28,48,853.32,244902.84,287
1080,2025-05-09,Elite Garments Chennai,Chennai,5,STYLE-115,27,3,41,47,21,41,28,37,24,28,40,25,32,1136.64,447836.16,394
1081,2025-05-15,Trendy Threads Mumbai,Mumbai,1,STYLE-132,13,11,42,35,19,33,48,6,16,45,18,50,24,628.69,226328.4,360
1081,2025-05-15,Trendy Threads Mumbai,Mumbai,2,STYLE-102,37,20,7,21,35,3,48,16,36,7,24,24,35,1455.86,455684.18,313
1081,2025-05-15,Trendy Threads Mumbai,Mumbai,3,STYLE-110,7,10,44,17,40,19,0,17,27,25,35,4,32,503.22,139391.94,277
1081,2025-05-15,Trendy Threads Mumbai,Mumbai,4,STYLE-132,16,43,22,33,6,11,17,33,27,38,4,43,15,1176.6,362392.8,308
1081,2025-05-15,Trendy Threads Mumbai,Mumbai,5,STYLE-116,37,12,28,34,50,9,12,40,36,12,46,43,32,847.27,331282.57,391
1082,2025-02-14,Bindas Guntur,Guntur,1,STYLE-147,18,8,29,0,22,36,45,22,19,1,13,26,25,1319.07,348234.48,264
1083,2025-02-15,Fashion Hub Delhi,Delhi,1,STYLE-138,9,10,6,28,47,34,30,2,42,44,40,21,27,851.5,289510.0,340
1083,2025-02-15,Fashion Hub Delhi,Delhi,2,STYLE-106,28,32,50,8,33,2,35,45,50,16,12,31,17,852.53,306058.27,359
1083,2025-02-15,Fashion Hub Delhi,Delhi,3,STYLE-117,29,34,38,50,48,48,17,44,36,40,33,27,35,585.01,280219.79,479
1083,2025-02-15,Fashion Hub Delhi,Delhi,4,STYLE-106,18,9,47,1,28,15,22,6,43,5,27,20,21,1160.56,304066.72,262
1083,2025-02-15,Fashion Hub Delhi,Delhi,5,STYLE-133,49,34,13,25,18,39,12,29,47,19,23,8,4,678.62,217158.4,320
1084,2025-05-01,Fashion Hub Delhi,Delhi,1,STYLE-103,21,28,46,29,10,37,24,16,16,1,9,16,33,551.15,157628.9,286
1084,2025-05-01,Fashion Hub Delhi,Delhi,2,STYLE-140,4,0,42,22,23,41,43,50,0,47,50,16,45,969.4,371280.2,383
1085,2025-06-01,Trendy Threads Mumbai,Mumbai,1,STYLE-119,30,44,12,15,23,31,40,37,34,10,1,46,31,896.26,317276.04,354
1085,2025-06-01,Trendy Threads Mumbai,Mumbai,2,STYLE-118,11,14,50,19,47,21,29,49,10,46,18,16,42,1303.95,485069.4,372
1085,2025-06-01,Trendy Threads Mumbai,Mumbai,3,STYLE-101,0,29,12,13,5,23,39,27,0,32,20,33,9,730.15,176696.3,242
1085,2025-06-01,Trendy Threads Mumbai,Mumbai,4,STYLE-137,30,33,45,27,32,48,36,40,38,48,21,28,7,1041.87,451129.71,433
1086,2025-05-25,Fashion Hub Delhi,Delhi,1,STYLE-110,29,45,10,10,11,36,3,2,17,0,30,34,49,1141.06,314932.56,276
1086,2025-05-25,Fashion Hub Delhi,Delhi,2,STYLE-106,39,20,20,21,21,50,0,6,47,49,4,2,22,917.56,276185.56,301
1086,2025-05-25,Fashion Hub Delhi,Delhi,3,STYLE-147,10,20,2,49,6,21,28,7,23,40,33,44,36,848.02,270518.38,319
1086,2025-05-25,Fashion Hub Delhi,Delhi,4,STYLE-108,19,14,5,39,2,6,43,5,2,19,1,27,15,872.94,171969.18,197
1086,2025-05-25,Fashion Hub Delhi,Delhi,5,STYLE-124,6,28,50,2,1,33,35,41,18,4,12,47,40,942.8,298867.6,317
1087,2025-01-19,Bindas Guntur,Guntur,1,STYLE-134,36,14,0,38,29,27,16,49,43,2,29,11,50,1069.48,367901.12,344
1087,2025-01-19,Bindas Guntur,Guntur,2,STYLE-113,42,47,26,22,7,49,6,31,34,33,7,1,0,1484.77,452854.85,305
1087,2025-01-19,Bindas Guntur,Guntur,3,STYLE-140,13,49,13,0,15,43,23,17,30,16,25,1,45,842.94,244452.6,290
1088,2025-04-27,Fashion Hub Delhi,Delhi,1,STYLE-109,47,38,43,6,34,29,22,37,33,29,39,22,48,1462.69,624568.63,427
1089,2025-02-12,Trendy Threads Mumbai,Mumbai,1,STYLE-129,25,42,31,19,18,46,3,6,3,6,47,33,20,1159.52,346696.48,299
1089,2025-02-12,Trendy Threads Mumbai,Mumbai,2,STYLE-107,27,33,35,0,3,46,29,45,33,17,28,13,15,558.33,180898.92,324
1089,2025-02-12,Trendy Threads Mumbai,Mumbai,3,STYLE-107,40,0,10,44,47,21,48,2,6,0,16,43,11,946.87,272698.56,288
1090,2025-02-05,Silk Route Kolkata,Kolkata,1,STYLE-114,2,22,38,23,48,42,47,7,21,34,0,37,42,721.99,262082.37,363
1090,2025-02-05,Silk Route Kolkata,Kolkata,2,STYLE-115,26,45,27,48,14,23,10,23,15,16,8,50,16,1116.71,358463.91,321
1090,2025-02-05,Silk Route Kolkata,Kolkata,3,STYLE-112,39,6,33,35,10,5,7,37,33,5,5,44,33,600.74,175416.08,292
1091,2025-03-01,Silk Route Kolkata,Kolkata,1,STYLE-141,48,47,12,4,24,10,4,23,5,33,48,33,31,664.75,214049.5,322
1091,2025-03-01,Silk Route Kolkata,Kolkata,2,STYLE-146,20,36,39,32,33,50,5,20,5,21,28,5,5,501.27,149879.73,299
1092,2025-03-11,Trendy Threads Mumbai,Mumbai,1,STYLE-117,40,49,42,29,45,14,47,28,17,27,14,36,43,745.37,321254.47,431
1092,2025-03-11,Trendy Threads Mumbai,Mumbai,2,STYLE-106,43,22,44,1,17,35,48,27,24,32,9,23,37,954.28,345449.36,362
1092,2025-03-11,Trendy Threads Mumbai,Mumbai,3,STYLE-141,15,41,25,7,27,46,13,30,0,45,13,11,48,1493.3,479349.3,321
1092,2025-03-11,Trendy Threads Mumbai,Mumbai,4,STYLE-135,17,29,33,33,10,21,16,8,12,22,48,38,20,691.98,212437.86,307
1093,2025-06-04,Trendy Threads Mumbai,Mumbai,1,STYLE-110,2,37,39,25,17,7,41,25,3,39,23,35,12,1450.57,442423.85,305
1093,2025-06-04,Trendy Threads Mumbai,Mumbai,2,STYLE-102,4,20,14,11,17,38,46,41,13,38,48,8,5,860.47,260722.41,303
1093,2025-06-04,Trendy Threads Mumbai,Mumbai,3,STYLE-137,36,34,7,13,42,8,34,6,36,18,33,6,40,1011.62,316637.06,313
1094,2025-04-25,Fashion Hub Delhi,Delhi,1,STYLE-114,7,42,29,36,18,43,42,21,25,31,32,28,6,1184.17,426301.2,360
1094,2025-04-25,Fashion Hub Delhi,Delhi,2,STYLE-105,36,16,5,7,24,22,38,1,3,27,5,30,44,634.18,163618.44,258
1094,2025-04-25,Fashion Hub Delhi,Delhi,3,STYLE-112,17,43,42,49,0,9,6,14,49,47,43,33,35,1360.34,526451.58,387
1095,2024-12-31,Silk Route Kolkata,Kolkata,1,STYLE-131,26,28,46,49,7,42,9,16,36,7,3,35,8,1189.66,371173.92,312
1095,2024-12-31,Silk Route Kolkata,Kolkata,2,STYLE-108,27,37,38,45,44,1,14,13,41,22,34,2,27,567.43,195763.35,345
1095,2024-12-31,Silk Route Kolkata,Kolkata,3,STYLE-149,7,12,13,24,40,7,9,46,18,26,16,8,3,1469.32,336474.28,229
1096,2025-05-03,Fashion Hub Delhi,Delhi,1,STYLE-148,21,37,27,32,28,27,17,13,36,46,15,8,30,536.92,180942.04,337
1096,2025-05-03,Fashion Hub Delhi,Delhi,2,STYLE-121,16,17,29,26,47,20,4,16,50,20,33,19,27,577.08,186973.92,324
1097,2025-04-06,Bindas Guntur,Guntur,1,STYLE-145,10,48,47,44,5,8,27,3,32,44,7,31,26,974.33,323477.56,332
1097,2025-04-06,Bindas Guntur,Guntur,2,STYLE-123,17,4,31,13,44,5,10,16,14,16,40,1,11,901.88,200217.36,222
1097,2025-04-06,Bindas Guntur,Guntur,3,STYLE-103,25,38,18,4,22,24,33,25,10,24,17,24,5,1442.95,388153.55,269
1097,2025-04-06,Bindas Guntur,Guntur,4,STYLE-130,14,45,12,7,40,48,25,37,26,43,22,16,36,1133.23,420428.33,371
1097,2025-04-06,Bindas Guntur,Guntur,5,STYLE-129,49,8,16,37,5,18,7,33,34,33,8,27,14,1496.47,432479.83,289
1098,2025-04-09,Bindas Guntur,Guntur,1,STYLE-123,38,31,46,26,14,20,22,6,47,45,27,11,2,734.87,246181.45,335
1098,2025-04-09,Bindas Guntur,Guntur,2,STYLE-122,30,39,35,24,16,10,20,15,28,45,23,22,31,887.16,299860.08,338
1098,2025-04-09,Bindas Guntur,Guntur,3,STYLE-107,34,27,23,26,4,23,36,33,16,42,11,17,8,1056.68,317004.0,300
1098,2025-04-09,Bindas Guntur,Guntur,4,STYLE-113,46,10,35,19,46,13,14,27,9,41,14,1,14,1172.76,338927.64,289
1098,2025-04-09,Bindas Guntur,Guntur,5,STYLE-127,42,16,20,28,15,10,24,1,23,38,33,11,23,1344.14,381735.76,284
1099,2025-01-04,Fashion Hub Delhi,Delhi,1,STYLE-134,42,18,3,40,45,24,18,13,11,35,1,12,22,1287.65,365692.6,284
